Time,Open,High,Low,Last,Change,%Chg,Volume
2015-02-09,681.29,683.71,679.01,680.46,-1.02,-0.15%,0
2015-02-06,685.82,688.54,679.36,681.48,-4.33,-0.63%,0
2015-02-05,679.67,686.08,679.67,685.81,6.21,+0.91%,0
2015-02-04,678.77,684.36,678.12,679.6,0.83,+0.12%,0
2015-02-03,671.84,678.77,670.69,678.77,6.93,+1.03%,0
2015-02-02,664.92,671.96,656.14,671.84,6.92,+1.04%,0
2015-01-30,674.54,676.71,664.34,664.92,-9.64,-1.43%,0
2015-01-29,667.37,675.76,661.71,674.56,7.19,+1.08%,0
2015-01-28,667.82,682.25,667.37,667.37,-0.44,-0.07%,0
2015-01-27,690.41,690.41,665.14,667.81,-22.6,-3.27%,0
2015-01-26,693.44,693.44,688.25,690.41,-3.03,-0.44%,0
2015-01-23,692.29,696.34,690.41,693.44,1.15,+0.17%,0
2015-01-22,679.03,693.02,676.48,692.29,13.27,+1.95%,0
2015-01-21,678.03,682.4,672.1,679.02,0.99,+0.15%,0
2015-01-20,672.52,679.74,669.26,678.03,5.51,+0.82%,0
2015-01-16,666.79,672.9,663.1,672.52,6.09,+0.91%,0
2015-01-15,676.35,679.75,665.95,666.43,-9.89,-1.46%,0
2015-01-14,679.93,679.93,669.72,676.32,-3.61,-0.53%,0
2015-01-13,680.37,695.36,675.17,679.93,-0.44,-0.06%,0
2015-01-12,689.64,690.24,678.15,680.37,-9.27,-1.34%,0
2015-01-09,691.58,695.85,684.26,689.64,-1.94,-0.28%,0
2015-01-08,676.23,693.31,676.23,691.58,15.36,+2.27%,0
2015-01-07,670.44,678.08,670.44,676.22,5.8,+0.87%,0
2015-01-06,678.73,681.12,666.94,670.42,-8.3,-1.22%,0
2015-01-05,690.07,690.07,677.21,678.72,-12.2,-1.77%,0
2015-01-02,692,698.37,686.52,690.92,-1.03,-0.15%,0
2014-12-31,701.62,703.46,691.77,691.95,-8.39,-1.20%,0
2014-12-30,703.53,704.8,699.48,700.34,-4.93,-0.70%,0
2014-12-29,707.25,708.21,705.19,705.27,-3.47,-0.49%,0
2014-12-26,707.12,710.35,706.76,708.74,2.9,+0.41%,0
2014-12-24,707.46,708.39,705.84,705.84,-0.67,-0.09%,0
2014-12-23,706.94,709.1,706.3,706.51,1.95,+0.28%,0
2014-12-22,698.41,704.6,698.41,704.56,7.55,+1.08%,0
2014-12-19,696.08,700.38,694.88,697.01,0.63,+0.09%,0
2014-12-18,684.71,696.38,684.71,696.38,20.53,+3.04%,0
2014-12-17,664.14,677.61,663.67,675.85,12.72,+1.92%,0
2014-12-16,667.74,679.28,663.13,663.13,-9.9,-1.47%,0
2014-12-15,680.69,685.36,670.39,673.03,-4.01,-0.59%,0
2014-12-12,682.94,687.86,677.04,677.04,-10.75,-1.56%,0
2014-12-11,686.43,695.81,686.42,687.79,3.46,+0.51%,0
2014-12-10,695.1,696.13,683.34,684.33,-11.38,-1.64%,0
2014-12-09,685.28,696.23,683.17,695.71,3.26,+0.47%,0
2014-12-08,698.92,700.48,689.51,692.45,-8.55,-1.22%,0
2014-12-05,702.72,703.97,699.58,701,-1.13,-0.16%,0
2014-12-04,701.47,704.1,699.22,702.13,0.74,+0.11%,0
2014-12-03,699.61,702.8,697.3,701.39,3.2,+0.46%,0
2014-12-02,695.06,699.38,693.87,698.19,1.79,+0.26%,0
2014-12-01,702.63,703.57,693.36,696.4,-7.8,-1.11%,0
2014-11-28,702.7,706.15,700.94,704.2,2.62,+0.37%,0
2014-11-26,695.64,701.86,695.46,701.58,6.22,+0.89%,0
2014-11-25,696.13,699.02,695.36,695.36,0.45,+0.06%,0
2014-11-24,691.21,695.15,690.95,694.91,4.84,+0.70%,0
2014-11-21,693.35,694.46,687.51,690.07,1.45,+0.21%,0
2014-11-20,682.3,688.7,680.96,688.62,4.39,+0.64%,0
2014-11-19,687.86,687.86,680.98,684.23,-4.43,-0.64%,0
2014-11-18,685.81,690.02,685.81,688.66,2.62,+0.38%,0
2014-11-17,685.95,687.49,682.71,686.04,-1.17,-0.17%,0
2014-11-14,683.48,687.27,682.99,687.21,4.21,+0.62%,0
2014-11-13,680.29,684.93,679.93,683,4.04,+0.60%,0
2014-11-12,675.76,679.54,675.31,678.96,1.6,+0.24%,0
2014-11-11,676.52,677.37,674.85,677.36,0.63,+0.09%,0
2014-11-10,674.2,677.61,673.55,676.73,1.79,+0.27%,0
2014-11-07,675.75,676.33,671.99,674.94,-0.23,-0.03%,0
2014-11-06,673.18,675.44,670.58,675.17,-0.47,-0.07%,0
2014-11-05,676.11,676.26,672.67,675.64,1.78,+0.26%,0
2014-11-04,672.64,675.39,669.22,673.86,0.31,+0.05%,0
2014-11-03,670.62,674.71,670.39,673.55,2.68,+0.40%,0
2014-10-31,667.89,670.87,667.26,670.87,11.59,+1.76%,0
2014-10-30,655.06,660.82,654.28,659.28,1.54,+0.23%,0
2014-10-29,656.67,659.68,653.64,657.74,-1.08,-0.16%,0
2014-10-28,651.39,658.82,651.39,658.82,9.23,+1.42%,0
2014-10-27,648.09,651.21,646.18,649.59,0.25,+0.04%,0
2014-10-24,648.12,649.77,642.95,649.34,5.2,+0.81%,0
2014-10-23,639.63,647.42,639.56,644.14,9.7,+1.53%,0
2014-10-22,640.23,641.6,634.31,634.44,-3.52,-0.55%,0
2014-10-21,631,637.96,630.06,637.96,13.49,+2.16%,0
2014-10-20,618.99,624.7,613.71,624.47,4.15,+0.67%,0
2014-10-17,618.97,625.25,616.36,620.32,7.34,+1.20%,0
2014-10-16,607.05,616.92,606,612.98,-3.48,-0.56%,0
2014-10-15,612.54,618.82,602.62,616.46,-4.65,-0.75%,0
2014-10-14,623.32,628.63,619.82,621.11,1.75,+0.28%,0
2014-10-13,626.9,632.47,619.35,619.36,-7.82,-1.25%,0
2014-10-10,641.19,643.47,627.17,627.18,-17.98,-2.79%,0
2014-10-09,655.38,656.43,644.59,645.16,-10.95,-1.67%,0
2014-10-08,643.36,657.21,639.66,656.11,12.71,+1.98%,0
2014-10-07,652.3,652.67,643.34,643.4,-10.83,-1.66%,0
2014-10-06,655.71,658.59,652.46,654.23,-0.1,-0.02%,0
2014-10-03,651.21,656.28,650.69,654.33,5,+0.77%,0
2014-10-02,649.09,651.17,641.84,649.33,0.26,+0.04%,0
2014-10-01,658.44,658.77,647.59,649.07,-10.85,-1.64%,0
2014-09-30,659.98,663.19,657.54,659.92,1.55,+0.24%,0
2014-09-29,652.7,659.4,651.32,658.37,-0.63,-0.10%,0
2014-09-26,652.54,659.72,652.54,659,7.97,+1.22%,0
2014-09-25,663.79,664.01,651.03,651.03,-15.19,-2.28%,0
2014-09-24,661.53,666.51,659.02,666.22,4.37,+0.66%,0
2014-09-23,661.49,664.71,660.63,661.85,-1.38,-0.21%,0
2014-09-22,667.13,667.44,661.36,663.23,-5.09,-0.76%,0
2014-09-19,671.92,672.07,665.78,668.32,-2.44,-0.36%,0
2014-09-18,668.02,670.8,667.71,670.76,4.37,+0.66%,0
2014-09-17,664.68,668.94,663.06,666.39,1.22,+0.18%,0
2014-09-16,658.2,666.14,656.93,665.17,4.47,+0.68%,0
2014-09-15,666.08,666.08,659.31,660.7,-4.2,-0.63%,0
2014-09-12,667.16,667.5,663.38,664.9,-2.94,-0.44%,0
2014-09-11,664.79,667.85,662.36,667.84,0.81,+0.12%,0
2014-09-10,661.83,667.6,660.29,667.03,5.53,+0.84%,0
2014-09-09,666.05,670.58,659.83,661.5,-4.27,-0.64%,0
2014-09-08,665.01,668.01,663.25,665.77,1,+0.15%,0
2014-09-05,661.27,664.77,660.28,664.77,4.27,+0.65%,0
2014-09-04,661.7,665.99,658.93,660.5,-0.61,-0.09%,0
2014-09-03,666.23,666.84,660.15,661.11,-4.72,-0.71%,0
2014-09-02,665.92,666.48,663.34,665.83,0.92,+0.14%,0
2014-08-29,664.09,664.91,661.47,664.91,2.97,+0.45%,0
2014-08-28,660.94,663.32,659.88,661.94,-1.46,-0.22%,0
2014-08-27,663.65,664.43,661.39,663.4,-0.37,-0.06%,0
2014-08-26,663.41,664.82,663.21,663.77,0.53,+0.08%,0
2014-08-25,665.57,666.12,662.19,663.24,0.1,+0.02%,0
2014-08-22,662.82,664.69,661.49,663.14,0.12,+0.02%,0
2014-08-21,659.67,663.79,659.67,663.02,3.38,+0.51%,0
2014-08-20,658.9,660.55,657.94,659.64,-0.02,0.00%,0
2014-08-19,655.78,659.77,655.78,659.66,4.49,+0.69%,0
2014-08-18,650.78,655.39,650.78,655.17,6.88,+1.06%,0
2014-08-15,650.24,651.48,643.65,648.29,0.73,+0.11%,0
2014-08-14,647.44,647.7,645.23,647.56,0.77,+0.12%,0
2014-08-13,641.54,646.79,641.54,646.79,7.29,+1.14%,0
2014-08-12,640.1,641.88,636.66,639.5,-1.3,-0.20%,0
2014-08-11,638.86,642.43,638.59,640.8,3.66,+0.57%,0
2014-08-08,633.03,637.48,630.4,637.14,4.41,+0.70%,0
2014-08-07,637.34,639.4,630.75,632.73,-2.88,-0.45%,0
2014-08-06,633.15,639.06,631.99,635.61,-1.34,-0.21%,0
2014-08-05,640.93,641.17,634.35,636.95,-6.04,-0.94%,0
2014-08-04,639.72,644.94,637.42,642.99,4.27,+0.67%,0
